mgi_id	viability	wol	mp_term_id_homozygote	mp_term_id_heterozygote	mp_term_id_hemizygote	mp_term_name_homozygote	mp_term_name_heterozygote	mp_term_name_hemizygote	allele_symbol_homozygote	allele_symbol_heterozygote	allele_symbol_hemizygote	strain_name_homozygote	strain_name_heterozygote	strain_name_hemizygote	procedure_name_successful	hom_early_adult	hem_early_adult	sucessful_procedures_13	ortholog	hgnc_id	gene_symbol	mean_depmap_gene_effect_score	depmap_essential_05	depmap_essential_1	fusil_all	fusil	max_col_raw	max_col_norm	max_tissue_raw	max_tissue_norm
MGI:105304	viable	NA	MP:0010067	NA	NA	increased red blood cell distribution width	NA	NA	Il6ra<em1(IMPC)Wtsi>	NA	NA	C57BL/6N	NA	NA	Auditory Brain Stem Response|Body Composition (DEXA lean/fat)|Combined SHIRPA and Dysmorphology|Electrocardiogram (ECG)|Fertility of Homozygous Knock-out Mice|Grip Strength|Gross Pathology and Tissue Collection|Heart Weight|Open Field|Organ Weight|Viability Primary Screen|X-ray	12	0	no	one2one	HGNC:6019	IL6R	-0.0876622841648905	n	n	VP	VP	45	45	Muscle_Skeletal	Muscle_Skeletal
MGI:105306	lethal	no data	MP:0011100	MP:0010087|MP:0005568|MP:0002968|MP:0005179	NA	preweaning lethality, complete penetrance	increased circulating fructosamine level|increased circulating total protein level|increased circulating alkaline phosphatase level|decreased circulating cholesterol level	NA	Rab5c<tm1a(EUCOMM)Wtsi>	Rab5c<tm1a(EUCOMM)Wtsi>	NA	C57BL/6N	C57BL/6N	NA	NA	NA	NA	NA	one2one	HGNC:9785	RAB5C	-0.185564542074521	n	n	DL	DL	22	37	Cells_Cultured_fibroblasts	Kidney_Cortex
MGI:105369	lethal	no data	MP:0011100	NA	NA	preweaning lethality, complete penetrance	NA	NA	Cbx1<tm1a(EUCOMM)Wtsi>	NA	NA	C57BL/6Brd-Tyr<c-Brd>	NA	NA	NA	NA	NA	NA	one2one	HGNC:1551	CBX1	-0.2651950782797	n	n	DL	DL	11	19	Brain_Cerebellar_Hemisphere	Brain_Spinal_cord_cervical_c.1
MGI:105371	viable	NA	MP:0010053|MP:0009142|MP:0010506|MP:0005333|MP:0013278	NA	NA	decreased grip strength|decreased prepulse inhibition|prolonged RR interval|decreased heart rate|decreased fasting circulating glucose level	NA	NA	Spock1<em1(IMPC)H>	NA	NA	C57BL/6NTac	NA	NA	Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Body Composition (DEXA lean/fat)|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Electrocardiogram (ECG)|Eye Morphology|Fertility of Homozygous Knock-out Mice|Grip Strength|Intraperitoneal glucose tolerance test (IPGTT)|Open Field|Viability Primary Screen|X-ray	13	0	yes	one2one	HGNC:11251	SPOCK1	-0.0174032558564389	n	n	VP	VP	11	11	Brain_Cerebellar_Hemisphere	Brain_Cerebellar_Hemisphere
MGI:105372	viable	NA	MP:0010053	NA	NA	decreased grip strength	NA	NA	Sstr4<tm1.1(KOMP)Vlcg>	NA	NA	C57BL/6NCrl	NA	NA	Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Body Composition (DEXA lean/fat)|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Electrocardiogram (ECG)|Eye Morphology|Fertility of Homozygous Knock-out Mice|Grip Strength|Gross Pathology and Tissue Collection|Heart Weight|Hematology|Indirect Calorimetry|Insulin Blood Level|Intraperitoneal glucose tolerance test (IPGTT)|Open Field|Organ Weight|Viability Primary Screen|X-ray	19	0	yes	one2one	HGNC:11333	SSTR4	0.0799103915901193	n	n	VP	VP	12	11	Brain_Cerebellum	Brain_Cerebellar_Hemisphere
MGI:105382	lethal	late lethal	MP:0011100	MP:0000274	NA	preweaning lethality, complete penetrance	enlarged heart	NA	Lama5<tm1b(KOMP)Wtsi>	Lama5<tm1b(KOMP)Wtsi>	NA	C57BL/6NTac	C57BL/6NTac	NA	NA	NA	NA	NA	one2one	HGNC:6485	LAMA5	-0.0357447703247298	n	n	DL	DL	30	30	Colon_Transverse_Muscularis	Colon_Transverse_Muscularis
MGI:105383	viable	NA	MP:0005333|MP:0010506	NA	NA	decreased heart rate|prolonged RR interval	NA	NA	Il18r1<em1(IMPC)Mbp>	NA	NA	C57BL/6NCrl	NA	NA	Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Body Composition (DEXA lean/fat)|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Electrocardiogram (ECG)|Eye Morphology|Fertility of Homozygous Knock-out Mice|Grip Strength|Gross Pathology and Tissue Collection|Heart Weight|Hematology|Histopathology|Indirect Calorimetry|Insulin Blood Level|Intraperitoneal glucose tolerance test (IPGTT)|Open Field|Organ Weight|Viability Primary Screen|X-ray	20	0	yes	one2one	HGNC:5988	IL18R1	0.0158290628753863	n	n	VP	VP	43	68	Lung	Whole_Blood
MGI:105870	viable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Body Composition (DEXA lean/fat)|Echo|Fertility of Homozygous Knock-out Mice|Grip Strength|Gross Pathology and Tissue Collection|Light-Dark Test|Open Field|Viability Primary Screen	8	0	no	one2one	HGNC:29804	MICALL1	-0.122452935802164	n	n	VnP_insufficient_procedures	NA	26	62	Colon_Sigmoid	Stomach_Mucosa
MGI:105917	viable	NA	MP:0011110|MP:0000691|MP:0004738|MP:0000443|MP:0002060|MP:0002092|MP:0000157	MP:0000689|MP:0001417|MP:0010067|MP:0002059|MP:0002989|MP:0004952|MP:0002060|MP:0002599|MP:0001325	NA	preweaning lethality, incomplete penetrance|enlarged spleen|abnormal auditory brainstem response|abnormal snout morphology|abnormal skin morphology|abnormal eye morphology|abnormal sternum morphology	abnormal spleen morphology|decreased exploration in new environment|increased red blood cell distribution width|abnormal seminal vesicle morphology|small kidney|increased spleen weight|abnormal skin morphology|increased mean platelet volume|abnormal retina morphology	NA	Fer<em1(IMPC)Tcp>	Fer<em1(IMPC)Tcp>	NA	C57BL/6NCrl	C57BL/6NCrl	NA	Auditory Brain Stem Response|Combined SHIRPA and Dysmorphology|Electrocardiogram (ECG)|Eye Morphology|Fertility of Homozygous Knock-out Mice|Gross Pathology and Tissue Collection|Viability Primary Screen|X-ray	8	0	no	one2one	HGNC:3655	FER	0.0836938671000265	n	n	VP	VP	46	46	Nerve_Tibial	Nerve_Tibial
MGI:105923	lethal	late lethal	MP:0003743|MP:0000428|MP:0011100	MP:0001304	NA	abnormal facial morphology|abnormal craniofacial morphology|preweaning lethality, complete penetrance	cataract	NA	Ednra<tm1b(EUCOMM)Hmgu>	Ednra<tm1b(EUCOMM)Hmgu>	NA	C57BL/6NJ	C57BL/6NJ	NA	NA	NA	NA	NA	one2one	HGNC:3179	EDNRA	0.054230018220422	n	n	DL	DL	25	25	Cervix_Endocervix	Cervix_Endocervix
MGI:105926	viable	NA	MP:0005627|MP:0010053|MP:0011396|MP:0002591|MP:0001488|MP:0001325|MP:0005562|MP:0005633|MP:0003131|MP:0000186|MP:0002833	NA	NA	increased circulating potassium level|decreased grip strength|abnormal sleep behavior|decreased mean corpuscular volume|increased startle reflex|abnormal retina morphology|decreased mean corpuscular hemoglobin|increased circulating sodium level|increased erythrocyte cell number|decreased circulating HDL cholesterol level|increased heart weight	NA	NA	Rab5a<tm1b(KOMP)Wtsi>	NA	NA	C57BL/6NJ	NA	NA	Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Body Composition (DEXA lean/fat)|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Electrocardiogram (ECG)|Electroconvulsive Threshold Testing|Eye Morphology|Fertility of Homozygous Knock-out Mice|Grip Strength|Gross Pathology and Tissue Collection|Heart Weight|Hematology|Hole-board Exploration|Insulin Blood Level|Intraperitoneal glucose tolerance test (IPGTT)|Light-Dark Test|Open Field - centre start|Plasma Chemistry|Rotarod|Sleep Wake|Tail Suspension|Viability Primary Screen	23	0	yes	one2one	HGNC:9783	RAB5A	-0.100002490246313	n	n	VP	VP	19	19	Brain_Spinal_cord_cervical_c.1	Brain_Spinal_cord_cervical_c.1
MGI:105933	viable	NA	MP:0002590|MP:0002968|MP:0001417|MP:0010124|MP:0003795|MP:0003960|MP:0005561|MP:0000063	NA	NA	increased mean corpuscular volume|increased circulating alkaline phosphatase level|decreased exploration in new environment|decreased bone mineral content|abnormal bone structure|increased lean body mass|increased mean corpuscular hemoglobin|decreased bone mineral density	NA	NA	Rab3ip<tm1.1(KOMP)Vlcg>	NA	NA	C57BL/6NJ	NA	NA	Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Body Composition (DEXA lean/fat)|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Electrocardiogram (ECG)|Electroconvulsive Threshold Testing|Eye Morphology|Fertility of Homozygous Knock-out Mice|Grip Strength|Gross Pathology and Tissue Collection|Heart Weight|Hematology|Hole-board Exploration|Insulin Blood Level|Intraperitoneal glucose tolerance test (IPGTT)|Light-Dark Test|Open Field - centre start|Plasma Chemistry|Rotarod|Sleep Wake|Tail Suspension|Viability Primary Screen	23	0	yes	one2one	HGNC:16508	RAB3IP	-0.0742680427674535	n	n	VP	VP	11	11	Brain_Cerebellar_Hemisphere	Brain_Cerebellar_Hemisphere
MGI:105937	viable	NA	MP:0001402|MP:0003179|MP:0002941	NA	NA	decreased locomotor activity|thrombocytopenia|increased circulating alanine transaminase level	NA	NA	Cfi<tm1b(EUCOMM)Hmgu>	NA	NA	C57BL/6NTac	NA	NA	Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Body Composition (DEXA lean/fat)|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Eye Morphology|Fertility of Homozygous Knock-out Mice|Grip Strength|Gross Pathology and Tissue Collection|Hematology|Indirect Calorimetry|Intraperitoneal glucose tolerance test (IPGTT)|Open Field|Organ Weight|Viability Primary Screen|X-ray	16	0	yes	one2one	HGNC:5394	CFI	0.0957321532330323	n	n	VP	VP	41	41	Liver_Mixed_Cell	Liver_Mixed_Cell
